ENSG	RNA rpkm.human	Protein ibaq.human	RNA rpkm.chimp	Protein ibaq.chimp
ENSG00000111640	2865.85	193393368.895932	1639.29	170152128.850337
ENSG00000108518	1599.13	108516422.334777	1454.05	125208223.803911
ENSG00000196262	170.944	95624120.013457	188.302	76677231.6273953
ENSG00000067225	46.798	64709230.8490039	47.9878	39424562.9525405
ENSG00000110955	291.137	60343068.7066506	343.63	68210068.1586778
ENSG00000109971	230.588	57994250.3328268	402.323	57791289.3114792
ENSG00000117450	428.512	51384765.0323531	479.718	30935659.6506458
ENSG00000102144	293.034	50955523.5113184	323.218	39229922.0193164
ENSG00000158710	79.8768	42482806.2818888	143.449	43467467.8960529
ENSG00000111716	156.533	39607593.6228695	193.122	36824362.0995905
ENSG00000134333	322.907	39271569.3209836	397.972	29502528.7989016
ENSG00000156508	0.925731	38640869.0471321	1.22598	44743667.8912963
ENSG00000149273	908.724	33279012.3385205	648.64	23077476.7095781
ENSG00000108953	118.847	32308272.7019318	131.537	27976586.1857248
ENSG00000105220	76.426	32253678.4186209	127.237	26771472.5823781
ENSG00000149925	197.341	31117389.0675335	132.179	19144091.1044931
ENSG00000144381	96.5203	30974392.2822787	113.92	16305679.9970218
ENSG00000182004	35.7966	30120106.3735741	27.2404	37314687.2788053
ENSG00000197043	126.857	28246140.1124044	139.369	24870475.9748624
ENSG00000171858	165.553	27034527.992298	11.5459	18043009.1585096
ENSG00000125691	1449.6	26578571.4409919	1285.93	25517394.3305463
ENSG00000164919	57.5743	24705459.0453843	48.3138	23695707.1123106
ENSG00000198755	111.602	21529395.6057589	55.2586	20843568.3214846
ENSG00000156261	94.0912	21191402.99463	93.1489	16006275.9857984
ENSG00000152234	135.158	21041980.6616737	155.392	16977778.6180826
ENSG00000126457	60.7059	20721344.1417671	63.858	5007226.46875031
ENSG00000167658	742.667	20140026.6277252	1025.71	22159427.419632
ENSG00000122406	294.539	20016549.0799623	216.738	17763215.8271991
ENSG00000138071	34.808	19773001.1542358	59.2524	19250039.1298503
ENSG00000147140	19.6062	19299430.9916415	33.6969	14587132.8411392
ENSG00000146701	83.0006	19132876.3778997	106.408	19190216.980368
ENSG00000108671	18.9553	18984027.6723325	22.0642	3438722.88814823
ENSG00000147604	0.448964	18929655.3185292	0.472201	18131018.9362897
ENSG00000181163	122.698	18715065.1782863	1.33702	18979606.8057333
ENSG00000111229	78.8837	18676257.5924958	20.6509	18979539.8843378
ENSG00000166226	46.6476	18583757.2556483	56.1297	13580775.3626199
ENSG00000088832	7.82428	18081731.0804115	86.6602	23336487.4377534
ENSG00000122026	5.49766	17757716.928349	5.91308	14014213.2039039
ENSG00000170515	50.0864	17627633.2720811	43.0178	13880220.4850017
ENSG00000165119	48.0125	17571144.3602901	50.9314	14499606.5231398
ENSG00000138326	863.932	17521050.6317143	305.736	13307464.2391196
ENSG00000144713	9.42054	17440656.4493929	7.0244	11512955.74848
ENSG00000196230	616.65	16764084.179992	828.208	13195796.8037023
ENSG00000143106	82.4407	16670148.2903115	105.46	18259569.1411321
ENSG00000115091	42.0956	16455263.6163603	44.0469	20195847.9315277
ENSG00000122566	364.297	16401663.7024756	316.42	12965702.6017287
ENSG00000164587	174.287	16101303.0653162	137.904	10348297.3057963
ENSG00000113387	134.928	15890120.8361342	107.935	13507144.0275723
ENSG00000156482	442.286	15650176.3301621	414.388	10401819.3883148
ENSG00000129084	33.2041	15580383.1213118	34.829	13706022.9592383
ENSG00000185624	122.583	15364049.6499053	155.6	17614638.3096658
ENSG00000129351	58.7457	14825701.4888376	63.3518	10436005.0878442
ENSG00000083845	376.79	14434572.888999	290.771	10898445.3295072
ENSG00000115541	38.1569	14382038.6958536	33.3514	6365221.2929419
ENSG00000198242	432.853	14253712.1038267	4.5367	8447283.63634915
ENSG00000004455	36.0415	14167839.9876505	48.4255	7143884.60036774
ENSG00000111669	60.2354	13758298.2274765	163.122	8406920.03036136
ENSG00000196419	29.5109	13560605.7898055	28.6966	12768140.4413644
ENSG00000115484	112.447	13467321.2179237	133.339	10086002.857129
ENSG00000092010	172.837	13462465.4238562	157.03	11699577.0095047
ENSG00000115415	200.423	13410843.1929504	159.246	7460807.3857559
ENSG00000163468	104.392	13370281.4318029	109.974	10704223.1794071
ENSG00000163466	141.186	13362557.6147644	167.765	14360797.9349154
ENSG00000166794	206.765	13307893.1110631	163.267	17682254.5477496
ENSG00000071082	371.394	13229054.4146687	9.02946	9667616.63000735
ENSG00000147403	598.821	13128262.1328251	125.239	11567033.5249907
ENSG00000241837	19.2625	12985319.6335701	22.9641	14613515.5823673
ENSG00000113013	50.6344	12919421.5391128	56.8215	11559373.4051464
ENSG00000077549	120.062	12877420.9932206	102.72	13949001.8503807
ENSG00000008018	59.241	12791015.8207326	60.4906	12089014.4556222
ENSG00000177156	77.1796	12711862.5654449	80.0557	10872282.4963698
ENSG00000171314	3.81694	12685764.2814557	107.515	3068973.74019389
ENSG00000108294	58.3885	12531483.5032015	68.8887	14177442.3626041
ENSG00000153187	75.6132	12506317.1832025	70.9246	12274020.5303323
ENSG00000019582	2031.5	12411460.4342071	1405.37	13504080.0112396
ENSG00000099783	110.335	12379502.4262598	97.5041	14019091.4458283
ENSG00000104824	16.7716	12336064.6028901	25.0919	11572352.7185975
ENSG00000131236	72.5805	12309191.1593126	88.9895	11257066.3382995
ENSG00000107438	234.747	12248091.3350805	60.4167	4993453.12670862
ENSG00000167526	673.397	12107503.9801117	293.706	4606931.91119243
ENSG00000057608	144.624	11799678.0330125	217.439	15723144.6031396
ENSG00000092820	89.554	11485210.3504767	103.886	9630839.88156581
ENSG00000141522	149.188	11391767.8650788	242.806	14688844.656522
ENSG00000215021	144.286	11340148.5046771	136.298	11609957.9518207
ENSG00000198034	334.397	11302914.6176732	267.017	7350977.42704338
ENSG00000044574	84.2497	11244128.9536658	114.651	17157120.3122825
ENSG00000136810	112.769	11231863.7619962	102.077	11679538.9162973
ENSG00000126067	81.3346	11142189.923348	113.294	9367427.46962086
ENSG00000189403	29.15	11140288.7775877	35.3897	10349818.3274076
ENSG00000155368	126.794	11101103.626001	101.667	12154727.3309023
ENSG00000146833	13.188	11098824.3544563	13.3734	19403996.5385881
ENSG00000100345	86.8421	11081923.6407721	108.029	9630410.10146242
ENSG00000113368	55.6872	11067434.4328539	52.8036	10715266.3386985
ENSG00000109107	135.606	10953572.7060249	144.724	7567945.30448921
ENSG00000231925	27.9703	10950196.4590563	26.7916	8680786.36684329
ENSG00000165629	67.823	10870637.2121343	54.0936	11470618.6774124
ENSG00000150753	45.3187	10769450.9596591	42.9633	9377810.56359507
ENSG00000111348	256.022	10587364.6189314	222.364	7343086.06076209
ENSG00000084754	31.1087	10574057.5300439	23.3751	10180002.5569263
ENSG00000204287	1056.83	10420597.5938044	1100.88	10792562.8942792
ENSG00000182054	51.1524	10350417.1366336	31.5025	4536137.75836709
ENSG00000165672	14.5725	10310157.7603077	1.24752	5776950.86793343
ENSG00000170889	280.482	10252630.0819486	11.2595	10675917.8874938
ENSG00000100567	29.489	10175179.323757	26.2183	11942989.1938808
ENSG00000159377	76.4507	10110235.9274556	64.5386	11228376.5154968
ENSG00000138029	15.6281	10079162.2185007	18.8742	8900010.06284428
ENSG00000137154	1601.74	10075245.2971819	1090.93	9794356.33129741
ENSG00000002549	62.786	9866192.45337948	74.3941	12075731.7704679
ENSG00000170542	56.4293	9800117.70846359	210.619	26357913.0265985
ENSG00000116161	22.0309	9741664.24815382	25.5696	5953174.50531182
ENSG00000079246	89.2561	9603076.37715242	95.7379	9623566.65497564
ENSG00000075142	16.691	9432354.974885	29.6537	8211426.30286494
ENSG00000148834	21.3577	9351516.61391167	16.1874	5741081.30678579
ENSG00000157601	97.5666	9335513.23708294	16.4402	3753970.77803322
ENSG00000204628	729.813	9299407.28286065	635.207	8350595.17547975
ENSG00000165704	73.0741	9241840.80484544	101.595	13120782.9091078
ENSG00000188846	10.6524	9092184.1872901	17.6355	8961625.90484267
ENSG00000100316	772.115	9089579.41699642	9.30796	10266676.3020028
ENSG00000119689	5.00431	9056458.57913863	8.04752	6567548.55729622
ENSG00000131143	79.9574	9011210.1733512	92.87	11726541.7613085
ENSG00000140319	164.225	9010283.84702174	165.951	8399873.86573356
ENSG00000092199	79.9808	8891766.23465916	158.813	11717514.6274876
ENSG00000139343	35.6157	8740553.17573111	19.3161	3667932.59768189
ENSG00000180353	66.419	8725034.99770391	62.1324	4980879.04351471
ENSG00000165280	59.8558	8648179.12682249	77.0217	10232392.9319233
ENSG00000169020	164.888	8521207.07539952	99.1403	4474228.99774871
ENSG00000117054	58.626	8470482.88930936	10.939	1317788.24665755
ENSG00000162704	67.145	8440665.71661237	101.082	5981904.94532633
ENSG00000143549	10.4271	8413331.71921558	17.3675	9057996.77541481
ENSG00000111679	207.824	8384364.41571879	75.8901	4943384.5045148
ENSG00000091483	50.2413	8310768.26625947	61.8739	5851196.90967157
ENSG00000122359	78.7302	8208738.71509485	39.7387	6325712.54219166
ENSG00000146232	50.6683	8163450.67363015	42.4233	5009337.68165465
ENSG00000102879	517.867	8143080.76352518	318.231	6595260.88767017
ENSG00000120438	46.1058	8110643.83226421	48.4738	6981341.7682133
ENSG00000166411	26.6437	8091648.79379079	14.7056	4365605.65242175
ENSG00000166598	161.948	8060166.69529916	126.839	9048710.10332204
ENSG00000143977	17.7774	8054863.24030754	0.463364	2355817.49189718
ENSG00000146731	90.5917	7999804.7071469	68.8169	7627156.7761255
ENSG00000164111	60.9742	7933931.4668992	43.9404	7652057.60716655
ENSG00000115866	63.9227	7926814.44698439	49.5828	4907933.19822069
ENSG00000175390	39.2239	7925412.34299474	110.813	8811987.35001521
ENSG00000175792	29.6344	7921211.46315599	34.9967	5934745.430311
ENSG00000130592	53.4549	7919410.20961945	173.731	14677436.3129504
ENSG00000160789	32.0096	7894917.05402169	96.9156	16932059.1825998
ENSG00000116560	118.563	7887196.27028172	87.9692	7530043.76314979
ENSG00000183207	38.9755	7835127.6155557	25.5524	6108945.46229252
ENSG00000084207	331.908	7787251.81159373	230.82	5683937.52639707
ENSG00000166710	2020.79	7623191.7898687	1816.6	14331295.333051
ENSG00000133313	64.8491	7620550.4447185	55.7359	2806800.55608848
ENSG00000125743	8.91474	7615926.09177596	9.98254	9913559.86444941
ENSG00000160752	17.6121	7532467.19092709	15.9181	4669875.30411896
ENSG00000138363	39.2219	7514777.85269585	36.2396	7788965.70651021
ENSG00000143799	52.8393	7510528.58477798	55.1891	3544066.95248581
ENSG00000142676	1222	7494562.29263889	1144.02	11945001.588068
ENSG00000138796	29.0127	7493911.72357506	18.4067	5165206.294199
ENSG00000012232	2.78718	7462739.89338924	3.34595	4022491.20547285
ENSG00000164104	198.791	7446079.59048106	144.738	5559385.52079821
ENSG00000187109	60.6492	7433702.40767857	62.6339	8654728.96596922
ENSG00000105835	19.438	7425289.32729562	31.6106	3479789.08321984
ENSG00000182199	52.6685	7404568.1807698	37.0082	5447216.85464454
