F32H2.5	FasN-1	K00665
C15F1.6	Art-1	K10258
F44C4.5	Ppt-1	K01074
F10D2.9	Fat-7	K00507
VZK822L.1	Fat-6	K00507
W06D12.3	Fat-5	K00507
Y67H2A.8	Fat-1	K10257
K03A1.5	Sur-5	K01907
C46F4.2	Acs-17	K01897
F28F8.2	Acs-2	K01897
F37C12.7	Acs-16	K01897
Y65B4BL.5	Acs-13	K01897
Y76A2B.3	Acs-14	K01897
F08F3.2	Acl-6	K00629
F49H12.6	Acl-4	K13506
R07E3.5	Acl-5	K13506
F59F4.4	Acl-1	K13509
T06E8.1	Acl-2	K13509
T05H4.1	Acl-8	K13513
ZK40.1	Acl-9	K13513
ZK809.2	Acl-3	K13511
K07B1.5	Acl-14	K13514
F14F3.3	Tag-289	K13516
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
F57C7.3	Sdn-1	K06257
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
F57C7.3	Sdn-1	K06257
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
F57C7.3	Sdn-1	K06257
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
F57C7.3	Sdn-1	K06257
F57C7.3	Sdn-1	K06257
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
