Q09161	NcbP1	K12882	790
P52298	NcbP2	K12883	156
E9PAR5	NcbP2	K12883	156
Q32P51	HnrNpa1l2	K12741	320
P51991	HnrNpa3	K12741	378
P09651	HnrNpa1	K12741	372
P07910	HnrNpc	K12884	306
P38159	RbmX	K12885	391
B4E3U4	RbmX	K12885	391
Q96E39	RbmXl1	K12885	390
P61978	HnrNpk	K12886	464
Q6IBN1	HnrNpk	K12886	464
P52272	HnrNpm	K12887	730
Q00839	HnrNpu	K12888	825
Q96BA7	HnrNpu	K12888	825
Q53SS8	PcbP1	K12889	356
Q15365	PcbP1	K12889	356
Q59FA2	SrsF1	K12890	248
Q07955	SrsF1	K12890	248
Q13242	SrsF9	K12890	221
Q9BRL6	SrsF8	K12891	282
Q53FN0	SrsF2	K12891	221
Q01130	SrsF2	K12891	221
P84103	SrsF3	K12892	164
B2R6F3	SrsF3	K12892	164
Q08170	SrsF4	K12893	494
Q13243	SrsF5	K12893	272
Q13247	SrsF6	K12893	344
B4DLU6	SrsF7	K12896	238
Q16629	SrsF7	K12896	238
Q549U1	Tra2a	K12897	282
Q13595	Tra2a	K12897	282
P62995	Tra2b	K12897	288
B4DJP9	SrsF10	K12900	262
O75494	SrsF10	K12900	262
Q5JRI3	SrsF10	K12900	262
Q9NYF8	BclAf1	K13087	920
Q15717	ElaVl1	K13088	326
Q12905	Ilf2	K13089	390
F4ZW62	Ilf2	K13089	390
Q12906	Ilf3	K13090	898
B4DRA0	Rbm39	K13091	530
Q14498	Rbm39	K13091	530
A2RRD3	Rbm39	K13091	530
P67809	Ybx1	K09276	324
Q86VM9	Zc3H18	K13092	977
P14678	SnrPb	K11086	288
Q66K91	SnrPb	K11086	288
P62314	SnrPd1	K11087	119
P62316	SnrPd2	K11096	118
P62318	SnrPd3	K11088	126
P62304	SnrPe	K11097	92
P62306	SnrPf	K11098	127
P62308	SnrPg	K11099	96
P08621	SnrNp70	K11093	437
P09012	SnrPa	K11091	282
Q5TAL4	SnrPc	K11095	159
P09234	SnrPc	K11095	159
P17844	Ddx5	K12823	614
Q6NWY9	PrpF40b	K12821	871
Q05C41	PrpF40a	K12821	957
O75400	PrpF40a	K12821	957
E9PFS0	PrpF40a	K12821	957
P49756	Rbm25	K12822	843
O14776	TceRg1	K12824	1098
P14678	SnrPb	K11086	288
Q66K91	SnrPb	K11086	288
P62314	SnrPd1	K11087	119
P62316	SnrPd2	K11096	118
P62318	SnrPd3	K11088	126
P62304	SnrPe	K11097	92
P62306	SnrPf	K11098	127
P62308	SnrPg	K11099	96
P09661	SnrPa1	K11092	255
P08579	SnrPb2	K11094	225
Q15459	Sf3A1	K12825	793
E9PAW1	Sf3A1	K12825	793
Q15428	Sf3A2	K12826	481
Q05DF2	Sf3A2	K12826	481
Q12874	Sf3A3	K12827	501
B3KY12	Sf3A3	K12827	501
A0JLT9	Sf3B1	K12828	1304
O75533	Sf3B1	K12828	1304
Q7Z497	Sf3B1	K12828	1304
E9PCH3	Sf3B1	K12828	1304
Q13435	Sf3B2	K12829	895
Q15393	Sf3B3	K12830	1217
A8K6V3	Sf3B3	K12830	1217
Q15427	Sf3B4	K12831	424
B3KUJ0	Sf3B4	K12831	424
Q9BWJ5	Sf3B5	K12832	86
Q9Y3B4	Sf3B14	K12833	125
Q53TM1	Sf3B14	K12833	125
Q86XP3	Ddx42	K12835	938
Q7RTV0	Phf5a	K12834	110
Q7Z780	U2aF1	K12836	240
Q01081	U2aF1	K12836	240
Q701P4	U2aF1	K12836	240
Q71RF1	U2aF1	K12836	240
P26368	U2aF2	K12837	475
Q8IWX8	CheRp	K12841	916
O43143	Dhx15	K12820	795
Q7L014	Ddx46	K12811	1031
Q9UHX1	Puf60	K12838	559
Q96I25	Rbm17	K12840	401
Q5W009	Rbm17	K12840	401
O75940	SmnDc1	K12839	238
O15042	Sr140	K12842	1029
O43684	Bub3	K02180	328
Q9UQ88	Cdk11a	K08818	783
Q4VBY6	Cdk11a	K08818	783
P21127	Cdk11b	K08818	795
O43719	HtaTsf1	K13093	755
P52756	Rbm5	K13094	815
P98175	Rbm10	K13094	930
Q7Z3D7	Rbm10	K13094	930
Q15637	Sf1	K13095	639
C9JJE2	Sf1	K13095	639
B7Z1Q1	Sf1	K13095	639
Q8IWZ8	SugP1	K13096	645
Q8NFU7	Tet1	K13097	2136
P35637	Fus	K13098	526
Q6IBQ5	Fus	K13098	526
Q13344	Fus	K13098	526
P14678	SnrPb	K11086	288
Q66K91	SnrPb	K11086	288
P62314	SnrPd1	K11087	119
