Dmel_CG17759	GalPha49b	K04634
Dmel_CG17678	Cta	K04346
Dmel_CG12232	GalPha73b	K04640
Dmel_CG10545	GbeTa13f	K04536
Dmel_CG10763	GbeTa5	K04539
Dmel_CG8770	GbeTa76c	K07972
Dmel_CG3694	GgaMma30a	K04547
Dmel_CG9375	Ras85d	K07827
Dmel_CG1167	Ras64b	K07830
Dmel_CG2849	RalA	K07834
Dmel_CG1956	R	K04353
Dmel_CG34390	Rgk2	K07847
Dmel_CG8418	Ric	K07847
Dmel_CG9811	Rgk1	K07847
Dmel_CG1081	RheB	K07208
Dmel_CG8416	Rho1	K04513
Dmel_CG2248	Rac1	K04392
Dmel_CG12530	Cdc42	K04393
Dmel_CG5701	RhoBtb	K07868
Dmel_CG5410	MirO	K07870
Dmel_CG3320	Rab1	K07874
Dmel_CG4212	Rab14	K07881
Dmel_CG3664	Rab5	K07889
Dmel_CG5915	Rab7	K07897
Dmel_CG5771	Rab11	K07904
Dmel_CG3129	Rab-rp4	K07910
Dmel_CG2108	Rab23	K06234
Dmel_CG9100	Rab30	K07917
Dmel_CG8024	Ltd	K07918
Dmel_CG1900	Rab40	K07928
Dmel_CG12156	Rab39	K07976
Dmel_CG14791	Rab27	K07976
Dmel_CG17060	Rab10	K07976
Dmel_CG2885	RabX2	K07976
Dmel_CG31118	RabX4	K07976
Dmel_CG32670	Rab9fb	K07976
Dmel_CG32671	Rab9fa	K07976
Dmel_CG32673	Rab9e	K07976
Dmel_CG32678	Rab9d	K07976
Dmel_CG3269	Rab2	K07976
Dmel_CG3870	ChrW	K07976
Dmel_CG4921	Rab4	K07976
Dmel_CG6601	Rab6	K07976
Dmel_CG7062	Rab-rp3	K07976
Dmel_CG7576	Rab3	K07976
Dmel_CG7980	RabX5	K07976
Dmel_CG8287	Rab8	K07976
Dmel_CG9575	Rab35	K07976
Dmel_CG9807	Rab9db	K07976
Dmel_CG9994	Rab9	K07976
Dmel_CG1404	Ran	K07936
Dmel_CG7815	Ran-like	K07936
Dmel_CG8156	Arf51f	K07941
Dmel_CG6025	Arf72a	K07942
Dmel_CG7435	Arf84f	K07943
Dmel_CG6560	Dnd	K07944
Dmel_CG7073	Sar1	K07953
Dmel_CG11027	Arf102f	K07977
Dmel_CG7891	Gie	K07977
Dmel_CG8385	Arf79f	K07977
Dmel_CG10079	EgfR	K04361
Dmel_CG18085	Sev	K05088
Dmel_CG32134	Btl	K05093
Dmel_CG7223	Htl	K05094
Dmel_CG8222	Pvr	K05096
Dmel_CG1511	Eph	K05110
Dmel_CG8250	Alk	K05119
Dmel_CG4926	Ror	K05122
Dmel_CG14396	Ret	K05126
Dmel_CG8967	Otk	K05127
Dmel_CG17348	Drl	K05128
Dmel_CG17559	Dnt	K05128
Dmel_CG4007	Nrk	K05129
Dmel_CG14026	Tkv	K13579
Dmel_CG1891	Sax	K13595
Dmel_CG8224	BabO	K13569
Dmel_CG7904	Put	K13597
Dmel_CG11624	Ubi-p63e	K08770
Dmel_CG32744	Ubi-p5e	K08770
Dmel_CG10679	NedD8	K12158
Dmel_CG15697	Rps30	K02983
Dmel_CG4494	Smt3	K12160
Dmel_CG12334	Atg8b	K08341
Dmel_CG32672	Atg8a	K08341
Dmel_CG10861	Atg12	K08336
Dmel_CG1782	Uba1	K03178
Dmel_CG12276	Aos1	K10684
Dmel_CG7528	Uba2	K10685
Dmel_CG7828	App-bp1	K04532
Dmel_CG5489	Atg7	K08337
Dmel_CG2013	UbcD6	K10573
Dmel_CG10682	Vih	K06688
Dmel_CG15437	MorGue	K06689
Dmel_CG6720	UbcD2	K06689
Dmel_CG7425	Eff	K06689
Dmel_CG4443	Crl	K04555
Dmel_CG2257	Ubc-e2h	K10576
Dmel_CG12799	Ubc84d	K04552
Dmel_CG5788	UbcD10	K04552
Dmel_CG18319	Ben	K10580
Dmel_CG8284	UbcD4	K04649
Dmel_CG6303	BruCe	K10586
Dmel_CG3018	Lwr	K10577
Dmel_CG6877	Aut1	K08343
Dmel_CG6190	As	K10587
Dmel_CG4943	LacK	K04678
Dmel_CG4244	Su(Dx)	K05633
Dmel_CG42279	NedD4	K10591
Dmel_CG9484	Hyd	K10593
Dmel_CG11734	HerC2	K10595
Dmel_CG5203	ChiP	K09561
Dmel_CG5519	Prp19	K10599
Dmel_CG10542	Bre1	K10696
Dmel_CG7037	Cbl	K04707
Dmel_CG13030	SinAh	K04506
Dmel_CG9949	SinA	K04506
Dmel_CG5212	Pli	K11964
Dmel_CG10523	ParK	K04556
Dmel_CG5659	Ari-1	K11968
Dmel_CG5709	Ari-2	K11969
Dmel_CG10961	TraF6	K03175
Dmel_CG10719	BraT	K11997
Dmel_CG31721	TriM9	K10649
Dmel_CG5206	Bon	K08883
Dmel_CG15105	AbbA	K12035
Dmel_CG42396	WecH	K12035
Dmel_CG14472	Poe	K10691
Dmel_CG12284	Th	K04725
Dmel_CG8293	Iap2	K04725
Dmel_CG12812	FanCl	K10606
Dmel_CG17492	Mib2	K10645
Dmel_CG5841	Mib1	K10645
Dmel_CG32592	Hiw	K10693
Dmel_CG11988	NeuR	K01931
Dmel_CG5595	Sce	K10695
Dmel_CG17033	ElgI	K11981
Dmel_CG1937	Sip3	K10601
Dmel_CG15104	TopOrs	K10631
Dmel_CG5140	NopO	K11985
Dmel_CG11856	Nup358	K12172
Dmel_CG15104	TopOrs	K10631
Dmel_CG16982	Roc1a	K03868
Dmel_CG16988	Roc1b	K03868
Dmel_CG16982	Roc1a	K03868
Dmel_CG16988	Roc1b	K03868
Dmel_CG1877	Lin19	K03347
Dmel_CG11941	SkpC	K03094
Dmel_CG11942	SkpE	K03094
Dmel_CG12227	SkpF	K03094
Dmel_CG12700	SkpD	K03094
Dmel_CG16983	SkpA	K03094
