SA1515	PhoR	K07636
SA1516	PhoP	K07658
SA0067	KdpD	K07646
SA1882	KdpD	K07646
SA0066	KdpE	K07667
SA1883	KdpE	K07667
SA1322	SrrB	K07651
SA1323	SrrA	K07775
SA0018	VicK	K07652
SA0017	VicR	K07668
SA0660	SaeS	K10681
SA0661	SaeR	K10682
SA1701	VraS	K07681
SA1700	VraR	K07694
SA0250	LytS	K07704
SA0251	LytR	K07705
SA1843	AgrC	K07706
SA1844	AgrA	K07707
SA0835	ClpB	K03695
SA0483	ClpC	K03696
SA2336	ClpL	K04086
SA1498	ClpX	K03544
SA1097	HslU	K03667
SA1409	DnaK	K04043
SA1836	GroEl	K04077
SA1408	DnaJ	K03686
SA0470	HslO	K04083
SA1410	GrpE	K03687
SA1837	GroEs	K04078
SA0469	FtsH	K03798
SA1911	AtpB	K02108
SA1659	PrsA	K07533
SA0992	TrxA	K03671
SA1515	PhoR	K07636
SA0067	KdpD	K07646
SA1882	KdpD	K07646
SA1322	SrrB	K07651
SA0018	VicK	K07652
SA0660	SaeS	K10681
SA1701	VraS	K07681
SA0250	LytS	K07704
SA1843	AgrC	K07706
SA1140	GlpF	K02440
SA0156	CapM	K13012
SA0150	CapG	K01791
SA0159	CapP	K01791
SA1913	MnaA	K01791
SA2074	ModA	K02020
SA2073	ModB	K02018
SA2072	ModC	K02017
SA0953	PotD	K11069
SA0952	PotC	K11070
SA0951	PotB	K11071
SA0950	PotA	K11072
SA2235	OpuCc	K05845
SA2234	OpuCd	K05846
SA2236	OpuCb	K05846
SA2237	OpuCa	K05847
SA0206	MsmX	K10112
SA0206	MsmX	K10112
SA0206	MsmX	K10112
SA1218	PstB	K02036
SA0201	Rlp	K02035
SA2255	Opp-1a	K02035
SA0199	OppB	K02033
SA0845	OppB	K02033
SA0853	OppB	K02033
SA1214	Opp-2b	K02033
SA2254	Opp-1b	K02033
SA1213	Opp-2c	K02034
SA2253	Opp-1c	K02034
SA0198	OppF	K02031
SA0847	OppD	K02031
SA1212	Opp-2d	K02031
SA2252	Opp-1d	K02031
SA0848	OppF	K02032
SA0852	AppF	K02032
SA1211	Opp-2f	K02032
SA2251	Opp-1f	K02032
SA0111	SirA	K02016
SA0980	IsdE	K02016
SA0109	SirC	K02015
SA0110	SirB	K02015
SA0603	FhuB	K02015
SA0604	FhuG	K02015
SA0981	IsdF	K02015
SA0602	FhuA	K02013
SA2020	CbiO	K02006
SA2021	CbiO	K02006
SA2020	CbiO	K02006
SA2021	CbiO	K02006
SA0594	TagG	K09692
SA0593	TagH	K09693
SA0617	VraG	K11632
SA0616	VraF	K11631
SA0531	ProP	K03762
SA0214	UhpT	K07784
SA0325	GlpT	K02445
SA2176	NarK	K10850
SA2145	TcaB	K07552
SA0650	NorA	K08153
SA0935	PtsI	K08483
SA0934	PtsH	K11189
SA1547	PtaA	K02803
SA0183	GlcA	K02763
SA2326	PtsG	K02763
SA2167	ScrA	K02809
SA0432	TreP	K02818
SA2114	GlvC	K02749
SA0655	FruA	K02768
SA1962	MtlA	K02798
SA1960	MtlF	K02799
SA1993	LacF	K02786
SA1992	LacE	K02787
SA0238	GatC	K02775
SA0318	UlaA	K03475
SA1998	LacR	K02530
SA1557	CcpA	K02529
SA1847	ScrR	K03484
SA2295	GntR	K11476
SA1149	GlnR	K03713
SA1098	CodY	K03706
SA1191	GlcT	K03480
SA1139	GlpP	K02443
SA1351	AhrC	K03402
SA0747	CspC	K03704
SA1234	CspA	K03704
SA2494	CspB	K03704
SA1411	HrcA	K03705
SA0480	CtsR	K03708
SA0726	GapR	K05311
SA1041	PyrR	K02825
SA1509	NrdR	K07738
