Q09161	NcbP1	K12882
P52298	NcbP2	K12883
E9PAR5	NcbP2	K12883
Q32P51	HnrNpa1l2	K12741
P51991	HnrNpa3	K12741
P09651	HnrNpa1	K12741
P07910	HnrNpc	K12884
P38159	RbmX	K12885
B4E3U4	RbmX	K12885
Q96E39	RbmXl1	K12885
P61978	HnrNpk	K12886
Q6IBN1	HnrNpk	K12886
P52272	HnrNpm	K12887
Q00839	HnrNpu	K12888
Q96BA7	HnrNpu	K12888
Q53SS8	PcbP1	K12889
Q15365	PcbP1	K12889
Q59FA2	SrsF1	K12890
Q07955	SrsF1	K12890
Q13242	SrsF9	K12890
Q9BRL6	SrsF8	K12891
Q53FN0	SrsF2	K12891
Q01130	SrsF2	K12891
P84103	SrsF3	K12892
B2R6F3	SrsF3	K12892
Q08170	SrsF4	K12893
Q13243	SrsF5	K12893
Q13247	SrsF6	K12893
B4DLU6	SrsF7	K12896
Q16629	SrsF7	K12896
Q549U1	Tra2a	K12897
Q13595	Tra2a	K12897
P62995	Tra2b	K12897
B4DJP9	SrsF10	K12900
O75494	SrsF10	K12900
Q5JRI3	SrsF10	K12900
Q9NYF8	BclAf1	K13087
Q15717	ElaVl1	K13088
Q12905	Ilf2	K13089
F4ZW62	Ilf2	K13089
Q12906	Ilf3	K13090
B4DRA0	Rbm39	K13091
Q14498	Rbm39	K13091
A2RRD3	Rbm39	K13091
P67809	Ybx1	K09276
Q86VM9	Zc3H18	K13092
P14678	SnrPb	K11086
Q66K91	SnrPb	K11086
P62314	SnrPd1	K11087
P62316	SnrPd2	K11096
P62318	SnrPd3	K11088
P62304	SnrPe	K11097
P62306	SnrPf	K11098
P62308	SnrPg	K11099
P08621	SnrNp70	K11093
P09012	SnrPa	K11091
Q5TAL4	SnrPc	K11095
P09234	SnrPc	K11095
P17844	Ddx5	K12823
Q6NWY9	PrpF40b	K12821
Q05C41	PrpF40a	K12821
O75400	PrpF40a	K12821
E9PFS0	PrpF40a	K12821
P49756	Rbm25	K12822
O14776	TceRg1	K12824
P14678	SnrPb	K11086
Q66K91	SnrPb	K11086
P62314	SnrPd1	K11087
P62316	SnrPd2	K11096
P62318	SnrPd3	K11088
P62304	SnrPe	K11097
P62306	SnrPf	K11098
P62308	SnrPg	K11099
P09661	SnrPa1	K11092
P08579	SnrPb2	K11094
Q15459	Sf3A1	K12825
E9PAW1	Sf3A1	K12825
Q15428	Sf3A2	K12826
Q05DF2	Sf3A2	K12826
Q12874	Sf3A3	K12827
B3KY12	Sf3A3	K12827
A0JLT9	Sf3B1	K12828
O75533	Sf3B1	K12828
Q7Z497	Sf3B1	K12828
E9PCH3	Sf3B1	K12828
Q13435	Sf3B2	K12829
Q15393	Sf3B3	K12830
A8K6V3	Sf3B3	K12830
Q15427	Sf3B4	K12831
B3KUJ0	Sf3B4	K12831
Q9BWJ5	Sf3B5	K12832
Q9Y3B4	Sf3B14	K12833
Q53TM1	Sf3B14	K12833
Q86XP3	Ddx42	K12835
Q7RTV0	Phf5a	K12834
Q7Z780	U2aF1	K12836
Q01081	U2aF1	K12836
Q701P4	U2aF1	K12836
Q71RF1	U2aF1	K12836
P26368	U2aF2	K12837
Q8IWX8	CheRp	K12841
O43143	Dhx15	K12820
Q7L014	Ddx46	K12811
Q9UHX1	Puf60	K12838
Q96I25	Rbm17	K12840
Q5W009	Rbm17	K12840
O75940	SmnDc1	K12839
O15042	Sr140	K12842
O43684	Bub3	K02180
Q9UQ88	Cdk11a	K08818
Q4VBY6	Cdk11a	K08818
P21127	Cdk11b	K08818
O43719	HtaTsf1	K13093
P52756	Rbm5	K13094
P98175	Rbm10	K13094
Q7Z3D7	Rbm10	K13094
Q15637	Sf1	K13095
C9JJE2	Sf1	K13095
B7Z1Q1	Sf1	K13095
Q8IWZ8	SugP1	K13096
Q8NFU7	Tet1	K13097
P35637	Fus	K13098
Q6IBQ5	Fus	K13098
Q13344	Fus	K13098
P14678	SnrPb	K11086
Q66K91	SnrPb	K11086
P62314	SnrPd1	K11087
P62316	SnrPd2	K11096
P62318	SnrPd3	K11088
P62304	SnrPe	K11097
P62306	SnrPf	K11098
P62308	SnrPg	K11099
P08621	SnrNp70	K11093
P09012	SnrPa	K11091
Q5TAL4	SnrPc	K11095
P09234	SnrPc	K11095
P17844	Ddx5	K12823
Q6NWY9	PrpF40b	K12821
Q05C41	PrpF40a	K12821
O75400	PrpF40a	K12821
E9PFS0	PrpF40a	K12821
P49756	Rbm25	K12822
O14776	TceRg1	K12824
P14678	SnrPb	K11086
Q66K91	SnrPb	K11086
P62314	SnrPd1	K11087
P62316	SnrPd2	K11096
P62318	SnrPd3	K11088
P62304	SnrPe	K11097
P62306	SnrPf	K11098
P62308	SnrPg	K11099
P09661	SnrPa1	K11092
P08579	SnrPb2	K11094
Q15459	Sf3A1	K12825
E9PAW1	Sf3A1	K12825
Q15428	Sf3A2	K12826
Q05DF2	Sf3A2	K12826
Q12874	Sf3A3	K12827
B3KY12	Sf3A3	K12827
A0JLT9	Sf3B1	K12828
O75533	Sf3B1	K12828
Q7Z497	Sf3B1	K12828
E9PCH3	Sf3B1	K12828
Q13435	Sf3B2	K12829
Q15393	Sf3B3	K12830
A8K6V3	Sf3B3	K12830
Q15427	Sf3B4	K12831
B3KUJ0	Sf3B4	K12831
Q9BWJ5	Sf3B5	K12832
Q9Y3B4	Sf3B14	K12833
Q53TM1	Sf3B14	K12833
Q86XP3	Ddx42	K12835
Q7RTV0	Phf5a	K12834
Q7Z780	U2aF1	K12836
Q01081	U2aF1	K12836
Q701P4	U2aF1	K12836
Q71RF1	U2aF1	K12836
P26368	U2aF2	K12837
Q8IWX8	CheRp	K12841
O43143	Dhx15	K12820
Q7L014	Ddx46	K12811
Q9UHX1	Puf60	K12838
Q96I25	Rbm17	K12840
Q5W009	Rbm17	K12840
O75940	SmnDc1	K12839
O15042	Sr140	K12842
P14678	SnrPb	K11086
Q66K91	SnrPb	K11086
P62314	SnrPd1	K11087
P62316	SnrPd2	K11096
P62318	SnrPd3	K11088
P62304	SnrPe	K11097
P62306	SnrPf	K11098
P62308	SnrPg	K11099
Q6FGG1	Lsm2	K12621
Q9Y333	Lsm2	K12621
